"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.total_kcal_need_male","2.2e+08","4.7e+08","5.3e+08","6.2e+08","7.1e+08","8.3e+08","9.3e+08","1.0e+09","1.3e+09","7.2e+08","0","0","1"
"y.total_kcal_need_female","1.2e+08","2.3e+08","2.6e+08","3.1e+08","3.7e+08","4.2e+08","4.8e+08","5.1e+08","6.3e+08","3.7e+08","0","0","1"
"y.current_kcal_intake_male","1.7e+08","4.0e+08","4.5e+08","5.2e+08","6.2e+08","7.2e+08","8.2e+08","8.8e+08","1.2e+09","6.3e+08","0","0","1"
"y.current_kcal_intake_female","1.3e+08","2.2e+08","2.5e+08","3.0e+08","3.5e+08","4.1e+08","4.6e+08","5.0e+08","6.4e+08","3.5e+08","0","0","1"
"y.total_kcal_need_yearly_all_athletes1","1.5e+08","2.1e+08","2.3e+08","2.6e+08","2.9e+08","3.3e+08","3.6e+08","3.8e+08","4.7e+08","3.0e+08","0","0","1"
"y.total_kcal_need_yearly_all_athletes2","1.3e+08","1.9e+08","2.1e+08","2.4e+08","2.7e+08","2.9e+08","3.2e+08","3.4e+08","4.2e+08","2.7e+08","0","0","1"
"y.total_kcal_need_yearly_all_athletes3","1.3e+08","1.9e+08","2.1e+08","2.4e+08","2.7e+08","2.9e+08","3.2e+08","3.4e+08","4.2e+08","2.7e+08","0","0","1"
"y.total_kcal_need_yearly_all_athletes4","1.3e+08","1.9e+08","2.1e+08","2.4e+08","2.7e+08","2.9e+08","3.2e+08","3.4e+08","4.2e+08","2.7e+08","0","0","1"
"y.total_kcal_need_yearly_all_athletes","5.5e+08","8.0e+08","8.6e+08","9.8e+08","1.1e+09","1.2e+09","1.3e+09","1.4e+09","1.7e+09","1.1e+09","0","0","1"
"y.total_kcal_current_yearly_all_athletes1","1.2e+08","1.8e+08","1.9e+08","2.2e+08","2.4e+08","2.7e+08","3.0e+08","3.1e+08","4.2e+08","2.5e+08","0","0","1"
"y.total_kcal_current_yearly_all_athletes2","1.2e+08","1.8e+08","1.9e+08","2.2e+08","2.4e+08","2.7e+08","3.0e+08","3.1e+08","4.3e+08","2.5e+08","0","0","1"
"y.total_kcal_current_yearly_all_athletes3","1.2e+08","1.8e+08","1.9e+08","2.2e+08","2.4e+08","2.7e+08","3.0e+08","3.1e+08","4.2e+08","2.5e+08","0","0","1"
"y.total_kcal_current_yearly_all_athletes4","1.2e+08","1.8e+08","1.9e+08","2.2e+08","2.4e+08","2.7e+08","3.0e+08","3.1e+08","4.2e+08","2.5e+08","0","0","1"
"y.total_kcal_current_yearly_all_athletes","4.7e+08","7.1e+08","7.6e+08","8.7e+08","9.8e+08","1.1e+09","1.2e+09","1.3e+09","1.7e+09","9.8e+08","0","0","1"
"y.protein_need_gram_male","6.9e+06","1.6e+07","1.8e+07","2.1e+07","2.4e+07","2.8e+07","3.2e+07","3.4e+07","4.3e+07","2.4e+07","0","0","1"
"y.protein_need_gram_female","4.3e+06","7.8e+06","8.8e+06","1.0e+07","1.2e+07","1.4e+07","1.6e+07","1.7e+07","2.2e+07","1.2e+07","0","0","1"
"y.total_protein_need_gram","1.7e+07","2.6e+07","2.9e+07","3.2e+07","3.7e+07","4.1e+07","4.5e+07","4.8e+07","5.6e+07","3.7e+07","0","0","1"
"y.total_protein_need_gram1","4.6e+06","7.1e+06","7.7e+06","8.7e+06","9.9e+06","1.1e+07","1.2e+07","1.3e+07","1.7e+07","1.0e+07","0","0","1"
"y.total_protein_need_gram2","4.1e+06","6.5e+06","7.0e+06","7.8e+06","8.9e+06","1.0e+07","1.1e+07","1.2e+07","1.4e+07","9.0e+06","0","0","1"
"y.total_protein_need_gram3","4.1e+06","6.5e+06","7.0e+06","7.8e+06","8.9e+06","1.0e+07","1.1e+07","1.2e+07","1.3e+07","8.9e+06","0","0","1"
