"","n_year","var_CV","weight_male","weight_female","height_male","height_female","age_male","age_female","paf_normal","paf_intensive","number_male","number_female","number_total","normal_training","intensive_training","bmi_low_cutoff","bmi_healthy_cutoff","target_fat_perc_male","target_fat_perc_female","fat_perc_male","fat_perc_female","weekly_weight_loss","weekly_weight_gain","weekly_extra_kcal","daily_kcal_male","daily_kcal_female","per_underweight_male","per_underweight_female","per_overweight_male","per_overweight_female","protein_need","protein_need_percent","carb_need","carb_need_percent","fat_tar_perc","protein_need_nor","protein_need_int","total_kcal_need_male","total_kcal_need_female","current_kcal_intake_male","current_kcal_intake_female","total_kcal_need_yearly_all_athletes1","total_kcal_need_yearly_all_athletes2","total_kcal_need_yearly_all_athletes3","total_kcal_need_yearly_all_athletes4","total_kcal_need_yearly_all_athletes","total_kcal_current_yearly_all_athletes1","total_kcal_current_yearly_all_athletes2","total_kcal_current_yearly_all_athletes3","total_kcal_current_yearly_all_athletes4","total_kcal_current_yearly_all_athletes","protein_need_gram_male","protein_need_gram_female","total_protein_need_gram","total_protein_need_gram1","total_protein_need_gram2","total_protein_need_gram3","total_protein_need_gram4","carb_need_gram_male","carb_need_gram_female","total_carb_need_gram","total_carb_need_gram1","total_carb_need_gram2","total_carb_need_gram3","total_carb_need_gram4","fat_need_gram_male","fat_need_gram_female","total_fat_need_gram","total_fat_need_gram1","total_fat_need_gram2","total_fat_need_gram3","total_fat_need_gram4","fat_model_check_one","fat_model_check_two","target_wt_female","target_wt_male"
"1",4,0.174794951953756,68.2723508293201,56.5547482753532,179.103788019045,152.560659111444,24.0383091212333,22.4441236486691,1.58531201692544,1.90869289426902,240.079883279553,124.281603462336,307.69060256891,171.7282457611,114.192990036311,18.5,20.2496375191243,10.7662759029423,16.6983105773606,12.2625042218838,16.6730073238222,0.63248337754415,0.823588600070784,4602.06844992747,2000.55456921236,2536.84432346985,0.272685013290889,0.105558645635122,0.280090533828116,0.212308565597554,1.64335196529,0.14215156809564,12.1782581327259,0.564964005567122,0.276400639093797,1.44116325787122,2.03887098882985,812398539.775229,308815662.158974,548922372.554698,360648412.234519,301775307.617178,272148155.862339,273587719.214058,273651439.626841,1121162622.32042,227736959.562708,227892191.978755,227295394.456056,227222625.881085,910147171.878604,28847751.1484784,10980663.0397874,39828414.1882659,10713660.5696112,9671813.15782226,9709210.62861358,9733729.83221889,114401403.500483,43611041.4518121,158012444.952295,42623501.2720265,38504889.6549304,38450773.1638918,38433280.8614465,26488724.5992679,10082657.6110465,36571382.2103144,9828288.99042138,8900970.64693031,8901757.25187147,8940365.32109125,329094433.25396,309878406.682702,56.4258766083059,67.1992952334095
"2",4,0.286815489904564,61.8911930303385,64.2187010593601,173.673781427717,152.804790041739,28.6491401237702,21.6035678701359,1.72103921464528,1.94047270066923,200.910203923206,198.344128001229,374.397562136173,174.788545410924,103.798965286325,18.5,21.2963814646275,8.05958007166492,15.181151634137,5.49899693790074,18.0822913878179,0.721813678429228,0.813328324164566,2924.98264401548,2654.34618803345,1732.64032698927,0.247453184554664,0.244350415893369,0.251728928805728,0.414825060893846,1.72517618890256,0.130104670100463,7.44048067875945,0.571518278006953,0.28336730380622,1.7669790155336,1.9383762270178,651908669.572816,527656880.196235,593862149.414973,382197891.98011,310059915.973305,289306842.290834,290169878.01785,288946321.838865,1178482958.12085,244087139.33805,241498862.732138,243773320.924151,244032170.005644,973391492.999983,21210023.7240941,17163656.9629811,38373680.6870752,10109674.5006825,9459392.34462458,9448739.78156015,9355874.06020793,93419541.8133733,75279774.7592803,168699316.572654,44198240.4972556,41577714.9477074,41632712.8435702,41290648.2841204,21586664.4603139,17506379.3314723,39093043.7917862,10378496.1697404,9593132.30535339,9571715.82468692,9549699.4920055,351126071.546159,334895186.502099,62.0312124254904,63.7151045074237
"3",4,0.0847035630627783,61.726576185361,69.9621578212322,178.993653845156,153.742727737185,28.0168138183208,21.5759928116419,1.64105457927389,1.90195269298746,282.579860158066,127.365439145889,352.13426329089,155.591525732464,110.216940723434,18.5,23.0187176786618,8.95524535342156,17.8902240364883,3.63893589290302,20.0290258789996,0.619200011471005,0.829806938523782,5868.45416539139,2047.80172181441,2234.3934934719,0.182203535833322,0.245607766630412,0.235610016272946,0.356137510252037,1.965189543137,0.138044347951802,10.2003040592761,0.634931621407038,0.277962844841592,1.49550747937805,1.87108372890934,889236903.402392,337149321.267015,615319813.560611,302799190.659567,336683321.428778,296478246.038541,296706981.256781,296714150.708832,1226582699.43293,229574956.914706,229624817.247639,229485075.609009,229748298.802662,918433148.574016,30691679.2003314,11644659.2731062,42336338.4734375,11616291.7552108,10237220.1138814,10240339.4985577,10242487.1057876,141115289.812306,53504866.5460115,194620156.358317,53440733.0473294,47065037.2982411,47076105.1000352,47038280.9127113,22439853.4302693,8493250.50503381,30933103.9353031,8483247.61418771,7485268.07732698,7482805.88651925,7481782.3572692,278445580.217337,340789842.239562,68.1661276663954,65.3234530591972
"4",4,0.282441297787026,71.2640153326655,61.4647928029971,184.283604922099,153.714091893101,18.8368753635882,20.0587267991958,1.53382618068039,1.81083188120569,204.770150310478,174.591932599448,331.592134789634,163.646554635668,105.385707347841,18.5,21.942747200263,8.52740236184785,17.2792763313693,7.36549294682221,16.0722870368526,0.79397253246347,0.727137410665305,4554.5981672638,2304.46282631289,2270.77276115429,0.192723393896455,0.194696332419296,0.402706145963429,0.272148995563927,1.50390747630716,0.132692190472119,6.06274493418467,0.63870591859349,0.281791899890664,1.48512317743363,1.98055322493156,667740786.626555,420670103.113203,508096899.991759,426579226.292607,297803740.192644,264973712.14418,262335019.909949,264952257.444921,1090064729.69169,233179345.411439,233308603.782912,232901643.500769,232983010.237448,932372602.932568,22169209.3355707,13954056.9912203,36123266.326791,9879150.63214449,8721026.50654057,8716571.16825665,8806518.01984928,106799807.301988,67348376.5772238,174148183.879211,47628758.8882254,42196414.715078,41997996.7497738,42325013.5261341,16876447.7179566,10612184.1632078,27488631.8811645,7496868.20344578,6688331.73712947,6620515.51602704,6682916.42456219,247595362.516391,305819720.12835,62.3999154406828,72.5311902962077
"5",4,0.185155607485315,71.7711532042364,70.0504279387225,161.467775262044,153.125633096298,19.3434704908168,16.1530152873009,1.72303403706296,1.89385468232381,257.045159614719,191.278127484794,408.430522831222,170.150990992731,110.456700885911,18.5,21.916829803815,10.138202511892,19.0802246223452,10.6637034395627,20.4296221621853,0.807158465200161,0.482381071409373,2968.78738836012,1746.35940863005,1698.91571642191,0.330166159663216,0.1647051158791,0.409711544168618,0.263351547657666,1.51077004073846,0.145788131002258,9.25533831551031,0.612693892943419,0.282456486428031,1.4876811785239,1.93034644543996,873719370.841392,551414143.673728,502534084.07918,365036711.340798,385996086.214213,346801306.089678,345990249.782802,345699908.743496,1424487550.83019,216961323.922958,216916205.288184,216580330.525583,217035798.368836,867493658.105561,31797707.393596,20041471.8681593,51839179.2617553,14049116.0148308,12608904.9850774,12615275.2913194,12565882.9705277,133996329.775788,84463326.2264122,218459656.0022,59227270.0305119,53075705.9366365,53187803.7392579,52968876.2957936,23374171.4912907,14826432.4123578,38200603.9036485,10349849.5659277,9243977.98081544,9299704.2771337,9307072.07977163,344483082.898865,402344070.246184,69.1084404199328,71.626644665445
"6",4,0.0989604745635403,52.4574460820717,40.199793075667,182.630745162084,154.068977196961,26.2049415840427,27.3817711120193,1.70438773491725,1.922409170545,210.571045430034,100.5796976707,397.296145440818,158.294894823671,104.576622910024,18.5,18.7961038178396,6.79151647499193,13.6601735638557,13.7661397508927,16.22013451772,0.847274205032991,0.83560759135814,8488.49852831468,2661.75769157378,2031.09783245072,0.189215883415286,0.255323761129559,0.287999116983057,0.467233581181256,1.66195016435991,0.13549736088438,11.7576478312156,0.62310250115979,0.268537713429475,1.85563487994826,1.9078651826189,597197940.744499,200736213.007248,588754653.414742,214787917.108358,201005074.178417,198924908.197723,198992350.604835,199185605.197052,798107938.178027,200604142.876356,200909184.516274,200969621.569134,200576760.787417,803059709.74918,20231490.8562162,6795728.24533938,27027219.1015556,6814595.00906319,6739506.69999698,6745265.10106641,6727852.29142905,92985441.4867117,31260370.2593429,124245811.746055,31343528.6511331,30937158.4003867,30997702.2566878,30967422.437847,16024984.434029,5385278.77453062,21410263.2085597,5374891.58721224,5348833.08509711,5349464.5290315,5337074.00721882,192649337.182708,214466021.567084,39.0746551044472,48.5284167338289
"7",4,0.249825833554747,69.8210356642583,56.4769544284413,175.004376816673,154.975072407744,24.0768063112765,25.217851858243,1.6261665653714,1.9028151520339,203.097559133779,150.496356713412,354.619695539759,186.579920045669,106.837713939656,18.5,20.2464333425417,10.2041736782101,16.44946595584,21.841406541445,19.9709655414317,0.682812954558265,0.828322000735106,5400.96961816124,2515.28497844282,1962.8363992854,0.228294752919526,0.261704799231213,0.452920839512723,0.117391167347553,1.60609360372955,0.154071682028782,4.91941806844779,0.615824263353382,0.270449982305749,1.36786357661362,1.95232403425219,669112181.837963,386695277.881451,601135071.204579,345912736.849844,287603657.082962,255145487.683193,257124391.468514,255425911.051817,1055299447.28649,237325583.091466,237655476.142349,235600252.636539,236764059.620004,947345371.490358,25761429.6974711,14867035.1411111,40628464.8385822,11058511.132831,9855131.48754336,9879641.09089093,9835181.12731687,103152412.910117,59574694.5267053,162727107.436823,44245828.6811268,39526991.3383072,39568361.7140464,39385925.7033421,17025605.4426453,9873074.13208043,26898679.5747257,7318681.77416916,6485298.58349917,6540559.93740527,6554139.27965213,242632013.734614,285555752.969302,54.1988915864487,60.882202852723
"8",4,0.178605894950369,58.1998663212102,62.0192586627943,176.029121541958,154.020762633387,23.7215369374879,18.5843719194225,1.80999308015102,1.90665138904328,167.345400360513,134.140552556814,386.697673690238,152.483383880371,111.834726309002,18.5,19.1519549200152,6.80666269475513,14.8012132200139,4.92646929721924,17.2498561376866,0.592886720204272,0.641913073243175,4234.47123129414,2473.23732353367,2523.26525891676,0.169211461321706,0.205374758940816,0.46233161906964,0.239576976010402,1.41765292229715,0.129513941937267,8.0376309138796,0.574831700763835,0.279560169109411,1.83555983092746,1.90832641207981,529587921.08834,352494781.484457,438106881.496431,357701439.60484,236949301.818638,215458552.721922,216075374.029575,214662525.972316,883145754.542451,198739754.258082,199063268.676074,199592534.898506,198650149.240481,796045707.073142,17171527.2520781,11397570.2374237,28569097.4895018,7655086.58121361,6940442.59971968,6996811.45680632,6976756.85176216,76130060.0882886,50630251.7587772,126760311.847066,34035699.046893,30927954.4841272,30969765.7939208,30826892.5221248,17400505.6568402,11591839.6968197,28992345.3536598,7763424.09255733,7057445.01511955,7096875.18054148,7074601.06544149,260922100.102583,246777678.645714,60.4980599507515,59.2368261780697
"9",4,0.10265786238583,57.4202656821697,52.4865587052515,175.442751247826,153.614263444608,30.1749295521282,25.0689891602888,1.71771081734906,1.90439269834127,237.454457145195,203.45793447071,501.48853155241,172.237838960344,108.192486013121,18.5,21.8809136765302,8.92816072076065,18.5737301787024,12.5247226707257,16.8743101934016,0.707347763550918,0.547011302290993,3249.47047110146,2511.46044304628,2790.94296495265,0.218832299732326,0.297691556312748,0.440279138423005,0.412687083443812,1.42736805144299,0.123154018272058,13.0599429132801,0.571999657266177,0.279261154177789,1.51100192013207,1.98777603183119,737856032.71512,515392947.896291,668084304.546173,637213181.085128,345616594.582008,302500141.068083,302578016.467941,302627011.09556,1253321763.21359,326359718.182472,326738045.683811,325614832.401042,325856293.881901,1304568890.14923,22707298.9973765,15867128.8918853,38574427.8892618,10648373.5059834,9289920.90642311,9326241.2282967,9309892.24855863,105656303.05171,73685212.9471049,179341515.998815,49488757.8640646,43263600.4899657,43301980.7089622,43287176.9358226,24940320.0692351,17469633.6573152,42409953.7265503,11703631.8887687,10199598.4389848,10254223.8951368,10252499.5036601,381498278.655257,350183640.211339,53.5247325123807,55.1652137039647
"10",4,0.0590740890329371,60.8496432941262,51.9019956738658,172.310103484557,153.878557224462,22.4799584386466,21.9845825563958,1.46039244681276,2.02476266673491,243.384341773846,181.667817627789,411.109789802114,163.782267183377,105.881397447217,18.5,19.4300200175999,6.14528939868097,13.8553103888891,16.6748194820581,16.180741756889,0.766945413853509,0.690484336230465,4374.07818172126,2326.93749255096,2184.62919864271,0.113787254742293,0.221019745921493,0.429397848833434,0.360794988003065,1.55469897018034,0.132304252024011,9.41368824138067,0.614644194478894,0.271723295460751,1.48266160310182,1.83161731916716,675232099.637228,405692890.068749,610810461.661623,427993326.882348,285385016.229842,265303297.782697,265347393.658633,265194038.927228,1081229746.5984,259734383.872627,259814105.036659,259654599.720749,259349797.482935,1038552886.11297,22342742.1387619,13424711.0684686,35767453.2072305,9441279.96457059,8777938.17458812,8775703.11227417,8772531.95579763,103823560.918229,62361328.9224815,166184889.84071,43885668.8068968,40740732.8391249,40788107.4778162,40770380.7168721,18971390.1130443,11399039.1598547,30370429.2728991,8020074.96536052,7460814.7046418,7443686.8020147,7445852.80088206,273342063.525197,293841362.290557,50.4574510319064,54.0342409038828
