"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"total_kcal_need_male"," 4.6e+08","7.3e+08","1.0e+09","7.3e+08","      0","7.3e+08","      0","PA"
"total_kcal_need_female"," 2.3e+08","3.7e+08","5.0e+08","3.7e+08","      0","3.7e+08","      0","PA"
"current_kcal_intake_male"," 3.8e+08","6.2e+08","8.9e+08","6.2e+08","      0","6.2e+08","      0","PA"
"current_kcal_intake_female"," 2.3e+08","3.5e+08","5.0e+08","3.6e+08","      0","3.6e+08","      0","PA"
"overall_extra_kcal_need","-6.1e+07","1.1e+08","3.1e+08","1.2e+08","8176191","1.2e+08","8176191","PA"
"protein_need_gram_male"," 1.5e+07","2.4e+07","3.5e+07","2.5e+07","      0","2.5e+07","      0","PA"
"protein_need_gram_female"," 7.8e+06","1.2e+07","1.7e+07","1.2e+07","      0","1.2e+07","      0","PA"
"total_protein_need_gram"," 2.6e+07","3.7e+07","4.9e+07","3.7e+07","      0","3.7e+07","      0","PA"
"carb_need_gram_male"," 6.9e+07","1.1e+08","1.5e+08","1.1e+08","      0","1.1e+08","      0","PA"
"carb_need_gram_female"," 3.5e+07","5.5e+07","7.6e+07","5.5e+07","      0","5.5e+07","      0","PA"
"total_carb_need_gram"," 1.2e+08","1.6e+08","2.1e+08","1.6e+08","      0","1.6e+08","      0","PA"
"fat_need_gram_male"," 1.2e+07","2.1e+07","3.1e+07","2.1e+07","      0","2.1e+07","      0","PA"
"fat_need_gram_female"," 6.5e+06","1.1e+07","1.5e+07","1.1e+07","      0","1.1e+07","      0","PA"
"total_fat_need_gram"," 2.1e+07","3.2e+07","4.3e+07","3.2e+07","      0","3.2e+07","      0","PA"
"fat_model_check_one"," 1.9e+08","2.9e+08","3.9e+08","2.9e+08","      0","2.9e+08","      0","PA"
"fat_model_check_two"," 2.2e+08","3.0e+08","3.9e+08","3.0e+08","      0","3.0e+08","      0","PA"
"target_wt_female"," 3.9e+01","5.4e+01","7.0e+01","5.4e+01","      0","5.4e+01","      0","PA"
"target_wt_male"," 4.8e+01","6.3e+01","8.0e+01","6.4e+01","      0","6.4e+01","      0","PA"
