"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.total_egg_serving_all_athletes"," 6.9e+02"," 3.7e+05","4.7e+05","7.3e+05","1.0e+06","1.3e+06","1.6e+06","1.7e+06","2.4e+06","1.0e+06","0.000","0","1.00"
"y.total_egg_serving_per_year_all_athletes1"," 1.7e+02"," 9.2e+04","1.2e+05","1.8e+05","2.5e+05","3.2e+05","3.9e+05","4.3e+05","6.1e+05","2.5e+05","0.000","0","1.00"
"y.total_egg_serving_per_year_all_athletes2"," 1.7e+02"," 9.2e+04","1.2e+05","1.8e+05","2.5e+05","3.2e+05","3.9e+05","4.3e+05","6.1e+05","2.5e+05","0.000","0","1.00"
"y.total_egg_serving_per_year_all_athletes3"," 1.7e+02"," 9.2e+04","1.2e+05","1.8e+05","2.5e+05","3.2e+05","3.9e+05","4.3e+05","6.1e+05","2.5e+05","0.000","0","1.00"
"y.total_egg_serving_per_year_all_athletes4"," 1.7e+02"," 9.2e+04","1.2e+05","1.8e+05","2.5e+05","3.2e+05","3.9e+05","4.3e+05","6.1e+05","2.5e+05","0.000","0","1.00"
"y.total_actual_egg_serving_all_athletes_inter_one"," 6.8e+01"," 3.7e+05","4.7e+05","7.3e+05","1.0e+06","1.3e+06","1.6e+06","1.7e+06","2.4e+06","1.0e+06","0.000","0","1.00"
"y.total_actual_egg_serving_all_athletes_inter_two"," 6.8e+01"," 3.7e+05","4.7e+05","7.3e+05","1.0e+06","1.3e+06","1.6e+06","1.7e+06","2.4e+06","1.0e+06","0.000","0","1.00"
"y.total_dairy_serving_all_athletes"," 1.1e+04"," 3.9e+05","5.3e+05","7.8e+05","1.0e+06","1.3e+06","1.5e+06","1.7e+06","2.3e+06","1.0e+06","0.000","0","1.00"
"y.total_dairy_serving_per_year_all_athletes1"," 2.8e+03"," 9.8e+04","1.3e+05","2.0e+05","2.6e+05","3.3e+05","3.8e+05","4.2e+05","5.9e+05","2.6e+05","0.000","0","1.00"
"y.total_dairy_serving_per_year_all_athletes2"," 2.8e+03"," 9.8e+04","1.3e+05","2.0e+05","2.6e+05","3.3e+05","3.8e+05","4.2e+05","5.9e+05","2.6e+05","0.000","0","1.00"
"y.total_dairy_serving_per_year_all_athletes3"," 2.8e+03"," 9.8e+04","1.3e+05","2.0e+05","2.6e+05","3.3e+05","3.8e+05","4.2e+05","5.9e+05","2.6e+05","0.000","0","1.00"
"y.total_dairy_serving_per_year_all_athletes4"," 2.8e+03"," 9.8e+04","1.3e+05","2.0e+05","2.6e+05","3.3e+05","3.8e+05","4.2e+05","5.9e+05","2.6e+05","0.000","0","1.00"
"y.total_actual_dairy_serving_all_athletes_inter_one"," 8.1e+03"," 3.9e+05","5.3e+05","7.8e+05","1.0e+06","1.3e+06","1.5e+06","1.7e+06","2.3e+06","1.0e+06","0.000","0","1.00"
"y.total_actual_dairy_serving_all_athletes_inter_two"," 8.1e+03"," 3.9e+05","5.3e+05","7.8e+05","1.0e+06","1.3e+06","1.5e+06","1.7e+06","2.3e+06","1.0e+06","0.000","0","1.00"
"y.total_sandwich_serving_all_athletes"," 1.9e+03"," 2.1e+05","2.5e+05","3.8e+05","5.2e+05","6.6e+05","7.9e+05","8.7e+05","1.2e+06","5.2e+05","0.000","0","1.00"
"y.total_sandwich_serving_per_year_all_athletes1"," 4.7e+02"," 5.2e+04","6.3e+04","9.6e+04","1.3e+05","1.6e+05","2.0e+05","2.2e+05","2.9e+05","1.3e+05","0.000","0","1.00"
"y.total_sandwich_serving_per_year_all_athletes2"," 4.7e+02"," 5.2e+04","6.3e+04","9.6e+04","1.3e+05","1.6e+05","2.0e+05","2.2e+05","2.9e+05","1.3e+05","0.000","0","1.00"
"y.total_sandwich_serving_per_year_all_athletes3"," 4.7e+02"," 5.2e+04","6.3e+04","9.6e+04","1.3e+05","1.6e+05","2.0e+05","2.2e+05","2.9e+05","1.3e+05","0.000","0","1.00"
"y.total_sandwich_serving_per_year_all_athletes4"," 4.7e+02"," 5.2e+04","6.3e+04","9.6e+04","1.3e+05","1.6e+05","2.0e+05","2.2e+05","2.9e+05","1.3e+05","0.000","0","1.00"
