"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"total_egg_serving_all_athletes"," 1.7e+06"," 4.1e+06","6.7e+06"," 4.2e+06","0.0e+00","4.2e+06","0.0e+00","PA"
"total_egg_serving_per_year_all_athletes1"," 4.2e+05"," 1.0e+06","1.7e+06"," 1.0e+06","0.0e+00","1.0e+06","0.0e+00","PA"
"total_egg_serving_per_year_all_athletes2"," 4.2e+05"," 1.0e+06","1.7e+06"," 1.0e+06","0.0e+00","1.0e+06","0.0e+00","PA"
"total_egg_serving_per_year_all_athletes3"," 4.2e+05"," 1.0e+06","1.7e+06"," 1.0e+06","0.0e+00","1.0e+06","0.0e+00","PA"
"total_egg_serving_per_year_all_athletes4"," 4.2e+05"," 1.0e+06","1.7e+06"," 1.0e+06","0.0e+00","1.0e+06","0.0e+00","PA"
"total_actual_egg_serving_all_athletes_inter_one"," 1.7e+06"," 4.1e+06","6.7e+06"," 4.2e+06","0.0e+00","4.2e+06","0.0e+00","PA"
"total_actual_egg_serving_all_athletes_inter_two"," 1.7e+06"," 4.1e+06","6.7e+06"," 4.2e+06","0.0e+00","4.2e+06","0.0e+00","PA"
"total_dairy_serving_all_athletes"," 7.6e+05"," 2.0e+06","3.3e+06"," 2.0e+06","0.0e+00","2.0e+06","0.0e+00","PA"
"total_dairy_serving_per_year_all_athletes1"," 1.9e+05"," 4.9e+05","8.1e+05"," 5.0e+05","0.0e+00","5.0e+05","0.0e+00","PA"
"total_dairy_serving_per_year_all_athletes2"," 1.9e+05"," 4.9e+05","8.1e+05"," 5.0e+05","0.0e+00","5.0e+05","0.0e+00","PA"
"total_dairy_serving_per_year_all_athletes3"," 1.9e+05"," 4.9e+05","8.1e+05"," 5.0e+05","0.0e+00","5.0e+05","0.0e+00","PA"
"total_dairy_serving_per_year_all_athletes4"," 1.9e+05"," 4.9e+05","8.2e+05"," 5.0e+05","0.0e+00","5.0e+05","0.0e+00","PA"
"total_actual_dairy_serving_all_athletes_inter_one"," 7.6e+05"," 2.0e+06","3.3e+06"," 2.0e+06","0.0e+00","2.0e+06","0.0e+00","PA"
"total_actual_dairy_serving_all_athletes_inter_two"," 7.6e+05"," 2.0e+06","3.3e+06"," 2.0e+06","0.0e+00","2.0e+06","0.0e+00","PA"
"total_sandwich_serving_all_athletes"," 1.5e+06"," 3.9e+06","6.4e+06"," 3.9e+06","0.0e+00","3.9e+06","0.0e+00","PA"
"total_sandwich_serving_per_year_all_athletes1"," 3.8e+05"," 9.9e+05","1.6e+06"," 9.9e+05","0.0e+00","9.9e+05","0.0e+00","PA"
"total_sandwich_serving_per_year_all_athletes2"," 3.8e+05"," 9.9e+05","1.6e+06"," 9.9e+05","0.0e+00","9.9e+05","0.0e+00","PA"
"total_sandwich_serving_per_year_all_athletes3"," 3.8e+05"," 9.9e+05","1.6e+06"," 9.9e+05","0.0e+00","9.9e+05","0.0e+00","PA"
"total_sandwich_serving_per_year_all_athletes4"," 3.8e+05"," 9.9e+05","1.6e+06"," 9.9e+05","0.0e+00","9.9e+05","0.0e+00","PA"
"total_actual_sandwich_serving_all_athletes_inter_one"," 1.5e+06"," 3.9e+06","6.4e+06"," 3.9e+06","0.0e+00","3.9e+06","0.0e+00","PA"
"total_actual_sandwich_serving_all_athletes_inter_two"," 1.5e+06"," 3.9e+06","6.4e+06"," 3.9e+06","0.0e+00","3.9e+06","0.0e+00","PA"
"total_vegetable_mushroom_serving_all_athletes"," 8.3e+05"," 1.3e+06","1.7e+06"," 1.3e+06","0.0e+00","1.3e+06","0.0e+00","PA"
"total_vegetable_mushroom_serving_per_year_all_athletes1"," 2.1e+05"," 3.2e+05","4.3e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_vegetable_mushroom_serving_per_year_all_athletes2"," 2.1e+05"," 3.2e+05","4.3e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_vegetable_mushroom_serving_per_year_all_athletes3"," 2.1e+05"," 3.2e+05","4.3e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_vegetable_mushroom_serving_per_year_all_athletes4"," 2.1e+05"," 3.2e+05","4.3e+05"," 3.2e+05","0.0e+00","3.2e+05","0.0e+00","PA"
"total_actual_vegetable_mushroom_serving_all_athletes_inter_one"," 6.7e+05"," 1.0e+06","1.4e+06"," 1.0e+06","0.0e+00","1.0e+06","0.0e+00","PA"
"total_actual_vegetable_mushroom_serving_all_athletes_inter_two"," 6.7e+05"," 1.0e+06","1.4e+06"," 1.0e+06","0.0e+00","1.0e+06","0.0e+00","PA"
"total_bean_nut_serving_all_athletes"," 5.4e+05"," 8.3e+05","1.1e+06"," 8.3e+05","0.0e+00","8.3e+05","0.0e+00","PA"
