"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"total_egg_serving_all_athletes"," 3.7e+05","7.4e+05","1.7e+06","8.7e+05","      0","8.7e+05","      0","PA"
"total_dairy_serving_all_athletes"," 3.8e+05","7.5e+05","1.7e+06","8.7e+05","      0","8.7e+05","      0","PA"
"total_sandwich_serving_all_athletes"," 1.9e+05","3.8e+05","8.5e+05","4.4e+05","      0","4.4e+05","      0","PA"
"total_vegetable_mushroom_serving_all_athletes"," 8.2e+05","1.2e+06","1.7e+06","1.2e+06","      0","1.2e+06","      0","PA"
"total_bean_nut_serving_all_athletes"," 2.7e+05","4.2e+05","5.5e+05","4.2e+05","      0","4.2e+05","      0","PA"
"total_fruit_serving_all_athletes"," 5.5e+05","8.3e+05","1.1e+06","8.3e+05","      0","8.3e+05","      0","PA"
"total_sports_drink_serving_all_athletes"," 3.4e+05","6.2e+05","9.2e+05","6.2e+05","      0","6.2e+05","      0","PA"
"total_chicken_serving_all_athletes"," 1.8e+05","3.0e+05","4.7e+05","3.1e+05","      0","3.1e+05","      0","PA"
"total_pork_serving_all_athletes"," 1.7e+05","3.1e+05","4.7e+05","3.1e+05","      0","3.1e+05","      0","PA"
"total_beef_serving_all_athletes"," 1.8e+05","3.1e+05","4.6e+05","3.1e+05","      0","3.1e+05","      0","PA"
"total_fish_serving_all_athletes"," 1.7e+05","3.1e+05","4.8e+05","3.2e+05","      0","3.2e+05","      0","PA"
"total_prawn_serving_all_athletes"," 1.8e+05","3.1e+05","4.7e+05","3.1e+05","      0","3.1e+05","      0","PA"
"total_rice_noodle_serving_all_athletes"," 1.3e+05","4.9e+05","8.3e+05","4.9e+05","   1167","4.9e+05","   1167","PA"
"total_fat_oil_serving_all_athletes"," 4.1e+04","9.7e+05","1.6e+06","8.2e+05","      0","8.2e+05","      0","PA"
