"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.chance_winning_current"," 0.0668","0.179","0.209","0.259","0.324","0.395","0.447","0.482","0.615","0.328","0.000","0","1"
"y.chance_winning_intervention"," 0.1737","0.281","0.310","0.359","0.424","0.496","0.549","0.582","0.712","0.428","0.000","0","1"
"y.chance_winning_net"," 0.0670","0.090","0.092","0.096","0.101","0.105","0.109","0.111","0.118","0.101","0.000","0","1"
"y.chance_winning_opponent"," 0.1028","0.209","0.239","0.293","0.355","0.427","0.477","0.512","0.634","0.359","0.000","0","1"
"y.chance_winning_net_opponent","-0.0077","0.015","0.019","0.024","0.031","0.039","0.045","0.049","0.073","0.032","0.002","0","1"
