"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"chance_winning_current","0.179","0.324","0.482","0.328","0.0e+00","0.328","0.0e+00","PA"
"chance_winning_intervention","0.281","0.424","0.582","0.428","0.0e+00","0.428","0.0e+00","PA"
"chance_winning_net","0.090","0.101","0.111","0.101","0.0e+00","0.101","0.0e+00","PA"
"chance_winning_opponent","0.209","0.355","0.512","0.359","0.0e+00","0.359","0.0e+00","PA"
"chance_winning_net_opponent","0.015","0.031","0.049","0.032","1.2e-05","0.032","1.2e-05","PA"
